country,city,zone,metric,week,week_label,value
CO,Cali,Zona unico oriente,Orders,8,l8w,10869.0
BR,Grande São Paulo,SP - SP - Santo Amaro/Jabaquara,Orders,8,l8w,10808.0
MX,Monterrey,Santa Catarina,Orders,8,l8w,10280.0
AR,La Plata,Malvinas los hornos,Orders,8,l8w,10263.0
MX,Reynosa,Reynosa_centro,Orders,8,l8w,10157.0
MX,Merida,MID_CENTRO,Orders,8,l8w,10083.0
MX,Merida,MID_CAUCEL PONIENTE,Orders,8,l8w,10044.0
PE,Trujillo,Centro Trujillo,Orders,8,l8w,9929.0
MX,Monterrey,Centro,Orders,8,l8w,9818.0
MX,Guadalajara,Tlaquepaque,Orders,8,l8w,9810.0
AR,Buenos Aires,Lomas de Zamora - Banfield,Orders,8,l8w,9696.0
CO,Armenia,Centro,Orders,8,l8w,9627.0
MX,Monterrey,MTY_Guadalupe,Orders,8,l8w,9605.0
CO,Monteria,Centro,Orders,8,l8w,9548.0
CO,Chia,Cajicá,Orders,8,l8w,9359.0
MX,Ciudad De Mexico,Interlomas,Orders,8,l8w,9217.0
MX,Hermosillo,Hmo_Poniente,Orders,8,l8w,9185.0
MX,Nogales,Nogales,Orders,8,l8w,9057.0
PE,Arequipa,Cercado Arequipa,Orders,8,l8w,8994.0
MX,Queretaro,QRO_EL_PUEBLITO,Orders,8,l8w,8880.0
MX,Ciudad De Mexico,Bosques,Orders,8,l8w,8729.0
CO,Pereira,Pinares Sur,Orders,8,l8w,8688.0
MX,Monterrey,Escobedo,Orders,8,l8w,8664.0
CL,Santiago De Chile,lo_barnechea,Orders,8,l8w,8656.0
CO,Monteria,Norte,Orders,8,l8w,8548.0
MX,Cancun,Cun Centro,Orders,8,l8w,8483.0
EC,Quito,Carolina,Orders,8,l8w,8389.0
AR,Buenos Aires,Ramos,Orders,8,l8w,8321.0
MX,Veracruz,VER_Centro,Orders,8,l8w,7899.0
MX,Merida,MID_AMERICAS TEMOZON,Orders,8,l8w,7878.0
AR,Buenos Aires,Liniers - Lugano,Orders,8,l8w,7739.0
CO,Bucaramanga,Cacique y Sur,Orders,8,l8w,7654.0
CO,Armenia,Armenia Sur,Orders,8,l8w,7593.0
CO,Villavicencio,Villavo sur,Orders,8,l8w,7578.0
CO,Bucaramanga,Norte,Orders,8,l8w,7484.0
MX,Colima,Col_Col,Orders,8,l8w,7361.0
MX,Uruapan,Uruapan,Orders,8,l8w,7357.0
MX,Morelia,MOR Las Américas,Orders,8,l8w,7353.0
AR,Rosario,Rosario (Centro),Orders,8,l8w,7348.0
MX,Monterrey,La Fe,Orders,8,l8w,7343.0
MX,Torreon,Tor_sur,Orders,8,l8w,7341.0
CO,Pereira,Pinares_Dosquebradas,Orders,8,l8w,7341.0
MX,Puerto Vallarta,Pvr_puertovallarta,Orders,8,l8w,7125.0
CO,Manizales,centro,Orders,8,l8w,7073.0
MX,Playa Del Carmen,PDC_1,Orders,8,l8w,7011.0
CL,Santiago De Chile,La Florida San Joaquin,Orders,8,l8w,7005.0
AR,Buenos Aires,Lanus,Orders,8,l8w,6990.0
CL,Santiago De Chile,macul,Orders,8,l8w,6981.0
CO,Rionegro,Rio Negro,Orders,8,l8w,6948.0
MX,Merida,MID_KANANSIN,Orders,8,l8w,6939.0
CO,Villavicencio,Villavo Norte,Orders,8,l8w,6809.0
BR,Grande São Paulo,SP - SBC - Baeta/Santo André,Orders,8,l8w,6738.0
AR,Buenos Aires,Caseros - Bonich,Orders,8,l8w,6725.0
MX,Ciudad De Mexico,Coacalco,Orders,8,l8w,6677.0
MX,Culiacan,Barrancos_Primavera,Orders,8,l8w,6656.0
CO,Tunja,Tunja,Orders,8,l8w,6565.0
MX,San Luis Potosi,SLP_Centro,Orders,8,l8w,6564.0
BR,Rio De Janeiro,Botafogo,Orders,8,l8w,6516.0
MX,Culiacan,Centro,Orders,8,l8w,6461.0
BR,Recife,PE - REC - Zona Sul,Orders,8,l8w,6435.0
MX,Saltillo,SAL_Norte,Orders,8,l8w,6379.0
PE,Arequipa,Paucarpata,Orders,8,l8w,6377.0
MX,Puebla,San_sebastian,Orders,8,l8w,6333.0
MX,Oaxaca,Oax_Centro,Orders,8,l8w,6309.0
BR,Fortaleza,ce_for_aldeota/coco,Orders,8,l8w,6309.0
CO,Santa Marta,Troncal,Orders,8,l8w,6299.0
MX,Queretaro,QRO_CENTRO_SUR,Orders,8,l8w,6293.0
MX,Monterrey,MTY_Apodaca_Huinalá,Orders,8,l8w,6243.0
PE,Chiclayo,Centro Chiclayo,Orders,8,l8w,6175.0
MX,Veracruz,VER_Costa-Oro,Orders,8,l8w,6159.0
MX,Nuevo Laredo,Nlar_centro,Orders,8,l8w,6157.0
CO,Pereira,Cuba,Orders,8,l8w,6154.0
CO,Bogota,Bosa,Orders,8,l8w,6123.0
BR,Belo Horizonte,MG - BH -Centro Sul,Orders,8,l8w,6106.0
BR,Recife,PE - REC - Zona Norte,Orders,8,l8w,6042.0
MX,Monterrey,Apodaca Centro,Orders,8,l8w,5916.0
MX,Guadalajara,Tonalá,Orders,8,l8w,5866.0
AR,Mar Del Plata,MAR_DEL_PLATA_CENTRO,Orders,8,l8w,5865.0
MX,Tampico,Tam_aeropuerto,Orders,8,l8w,5782.0
CO,Manizales,Zona La Enea,Orders,8,l8w,5729.0
BR,Grande São Paulo,SP - SCS - São Caetano/Sacomã,Orders,8,l8w,5727.0
PE,Trujillo,Vista Alegre,Orders,8,l8w,5533.0
AR,Buenos Aires,Munro,Orders,8,l8w,5498.0
MX,Los Mochis,Moch_1,Orders,8,l8w,5373.0
MX,Saltillo,SAL_Mirasierra,Orders,8,l8w,5314.0
MX,Queretaro,QRO_REFUGIO_ZIBATA,Orders,8,l8w,5304.0
BR,Rio De Janeiro,Leblon,Orders,8,l8w,5286.0
CL,Santiago De Chile,la_reina_penalolen,Orders,8,l8w,5261.0
AR,Buenos Aires,San Justo - Villa Madero,Orders,8,l8w,5260.0
CO,Popayan,Popayan Centro,Orders,8,l8w,5229.0
AR,Buenos Aires,Moron - El Palomar,Orders,8,l8w,5206.0
MX,San Luis Potosi,SLP_Sendero,Orders,8,l8w,5152.0
MX,San Luis Rio Colorado,San Luis Río Colorado,Orders,8,l8w,5118.0
BR,Grande São Paulo,SP - SP - Mooca/Tatuapé,Orders,8,l8w,5044.0
AR,Buenos Aires,Villa Ballester,Orders,8,l8w,5015.0
MX,Torreon,Tor_centro,Orders,8,l8w,4975.0
MX,Tijuana,TIJ_Centro_Norte,Orders,8,l8w,4947.0
MX,Saltillo,SAL_El Mimbre,Orders,8,l8w,4933.0
MX,Culiacan,Valle_Alto,Orders,8,l8w,4922.0
MX,Playa Del Carmen,PDC_Villas_del_Sol,Orders,8,l8w,4877.0
MX,Cuernavaca,CVA-Norte,Orders,8,l8w,4864.0
PE,Lima,Campoy,Orders,8,l8w,4812.0
MX,Monclova,Monclova,Orders,8,l8w,4683.0
CO,Mosquera/ Funza,Mosquera - Funza,Orders,8,l8w,4680.0
MX,Torreon,Tor_norte,Orders,8,l8w,4679.0
MX,Queretaro,QRO_DELEG_FELIZ_OZORES,Orders,8,l8w,4676.0
AR,Buenos Aires,Bs As Sur Adrogue,Orders,8,l8w,4670.0
PE,Lima,San Juan de Lurigancho,Orders,8,l8w,4644.0
MX,Saltillo,SAL_Saltillo 2000,Orders,8,l8w,4617.0
BR,Rio De Janeiro,Ipanema,Orders,8,l8w,4524.0
MX,Cuernavaca,CVA-Centro,Orders,8,l8w,4512.0
CO,Neiva,Neiva Centro,Orders,8,l8w,4505.0
AR,Rosario,Rosario Shopping,Orders,8,l8w,4480.0
CL,Viña Del Mar,Plan Viña,Orders,8,l8w,4474.0
MX,Cancun,Cun_Los Héroes-Puerto,Orders,8,l8w,4445.0
CO,Cali,Alfaguara Jamundi,Orders,8,l8w,4413.0
CO,Pereira,Los molinos,Orders,8,l8w,4398.0
MX,Reynosa,Rey_florida,Orders,8,l8w,4388.0
MX,Monterrey,Carretera Nacional,Orders,8,l8w,4306.0
